user_id,name,username,email_address,date_of_birth,gender,location,membership_start_date,membership_end_date,subscription_plan,payment_information,renewal_status,usage_frequency,purchase_history,favorite_genres,devices_used,engagement_metrics,feedback_ratings,customer_support_interactions
75,Megan Vaughan,Kelsey Diaz,walkersusan@example.net,2/23/1938,Female,Tinaberg,2/3/2024,2/2/2025,Annual,Visa,Manual,Frequent,Books,Horror,Tablet,Medium,3.3,0
76,Kelsey Diaz,Jimmy Parker,jamesstevens@example.com,6/29/1992,Female,Wongview,2/7/2024,2/6/2025,Annual,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Smart TV,Low,4.4,5
77,Jimmy Parker,Perry Fry,shannon08@example.org,5/15/1967,Female,Ramseymouth,2/18/2024,2/17/2025,Monthly,Mastercard,Manual,Regular,Books,Documentary,Smart TV,Medium,4.9,10
78,Perry Fry,Evelyn Williams,lucas69@example.com,12/10/1993,Female,Port Jasonville,3/10/2024,3/10/2025,Monthly,Visa,Manual,Regular,Clothing,Drama,Smartphone,Low,3.8,10
79,Evelyn Williams,Julie Sanchez,john77@example.org,8/3/1942,Male,Port Nicholas,3/18/2024,3/18/2025,Monthly,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Tablet,Low,4.1,10
80,Julie Sanchez,Joseph Davis,bakerzachary@example.net,12/11/1994,Female,Michaelberg,1/29/2024,1/28/2025,Annual,Visa,Manual,Regular,Electronics,Comedy,Smartphone,Low,3.4,6
81,Joseph Davis,Monique Rodriguez,greenelisa@example.com,10/12/1933,Male,Martinezfort,1/7/2024,1/6/2025,Monthly,Mastercard,Manual,Frequent,Clothing,Action,Smart TV,Low,3.3,3
82,Monique Rodriguez,Thomas Davis,rrhodes@example.com,5/3/1940,Male,West Connorport,3/20/2024,3/20/2025,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Smartphone,High,3.6,9
83,Thomas Davis,Christopher Dickerson,brendasmith@example.com,12/1/1938,Female,Carsonhaven,2/29/2024,2/28/2025,Annual,Visa,Auto-renew,Regular,Electronics,Romance,Smartphone,High,3.1,5
84,Christopher Dickerson,Keith Baker,wgregory@example.com,5/5/1992,Female,Troytown,1/15/2024,1/14/2025,Monthly,Amex,Auto-renew,Occasional,Books,Action,Smart TV,High,3.2,4
85,Keith Baker,Ashley Cortez,ujones@example.com,7/11/1972,Female,Langton,2/3/2024,2/2/2025,Annual,Amex,Manual,Occasional,Clothing,Horror,Smartphone,Medium,3,1
86,Ashley Cortez,Tammy Ward,lisa59@example.net,6/13/1948,Female,Charlesfurt,2/23/2024,2/22/2025,Annual,Visa,Manual,Frequent,Books,Action,Smart TV,Low,3.9,3
87,Tammy Ward,Mary Fernandez,shannon33@example.com,3/16/1974,Female,Lake Stephanieside,1/28/2024,1/27/2025,Annual,Mastercard,Auto-renew,Frequent,Books,Horror,Smart TV,Low,4.8,4
88,Mary Fernandez,Vanessa Lutz,richardsjimmy@example.com,4/27/1990,Male,Melissamouth,2/10/2024,2/9/2025,Monthly,Amex,Manual,Regular,Books,Romance,Smart TV,Low,4.4,2
90,Vanessa Lutz,Alicia Williams,harriscameron@example.org,11/13/1951,Female,North Michelleburgh,2/11/2024,2/10/2025,Monthly,Mastercard,Manual,Regular,Electronics,Action,Tablet,Medium,4.7,3
92,Alicia Williams,Laura Saunders,xpierce@example.org,6/20/1991,Male,Lindseyland,2/22/2024,2/21/2025,Monthly,Amex,Manual,Frequent,Books,Comedy,Tablet,Medium,4.2,2
93,Laura Saunders,Connor Morris,sara71@example.net,2/21/1945,Male,Kevinchester,2/13/2024,2/12/2025,Annual,Mastercard,Manual,Occasional,Books,Drama,Tablet,Medium,3.9,3
94,Connor Morris,Shannon Farmer,umiller@example.org,3/4/1981,Female,North Melissaville,2/8/2024,2/7/2025,Annual,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,High,3.9,4
95,Shannon Farmer,Mackenzie Harris,coffeyparker@example.org,12/15/1958,Female,Justinchester,2/3/2024,2/2/2025,Annual,Mastercard,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.6,6
96,Mackenzie Harris,Stephanie Potter,andersonemily@example.net,11/6/1963,Female,Lake Barryland,3/1/2024,3/1/2025,Annual,Mastercard,Auto-renew,Regular,Clothing,Action,Smartphone,Medium,3.2,9
97,Stephanie Potter,Mitchell Potter,heather10@example.org,5/5/1958,Female,New Teresaburgh,3/25/2024,3/25/2025,Monthly,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.7,3
98,Mitchell Potter,Jonathan Rodriguez,fsanchez@example.net,8/27/1979,Male,South Katieburgh,1/27/2024,1/26/2025,Annual,Visa,Manual,Regular,Books,Documentary,Tablet,High,4.7,4
99,Jonathan Rodriguez,Jennifer Davis,nichole85@example.net,12/20/1967,Male,East Shannonhaven,2/29/2024,2/28/2025,Monthly,Visa,Auto-renew,Occasional,Clothing,Action,Smart TV,Medium,4.7,7
100,Jennifer Davis,Darlene Gutierrez,zunigashelly@example.org,1/15/1950,Female,West Nathanielton,2/14/2024,2/13/2025,Annual,Mastercard,Auto-renew,Regular,Books,Drama,Smart TV,Low,4.5,5
101,Darlene Gutierrez,Paula Perez,perkinsmary@example.org,9/20/1956,Male,North Kristenbury,1/19/2024,1/18/2025,Monthly,Amex,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Low,4.7,1
102,Paula Perez,Jaime Edwards,trevorwelch@example.net,3/12/2003,Female,Dicksonmouth,4/12/2024,4/12/2025,Annual,Amex,Manual,Regular,Books,Sci-Fi,Tablet,Low,3.5,3
103,Jaime Edwards,Sherry Salinas,aguirrejoshua@example.com,11/27/1990,Male,Bennettmouth,4/8/2024,4/8/2025,Annual,Amex,Manual,Occasional,Electronics,Horror,Tablet,Low,3,2
104,Sherry Salinas,Paul Harris,roachmegan@example.org,3/27/1998,Male,New Markview,4/4/2024,4/4/2025,Annual,Amex,Manual,Occasional,Clothing,Action,Smart TV,High,3.1,8
105,Paul Harris,James Williams,ashley27@example.com,5/9/1958,Male,West Robinborough,1/7/2024,1/6/2025,Monthly,Amex,Manual,Frequent,Books,Drama,Smart TV,Low,3.3,0
106,James Williams,Alan Oneal,rlove@example.org,10/14/1973,Male,West Robert,2/13/2024,2/12/2025,Annual,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smartphone,High,3.4,10
107,Alan Oneal,Grant Jensen,mbarker@example.net,2/23/1949,Female,South Amy,2/14/2024,2/13/2025,Annual,Mastercard,Manual,Frequent,Clothing,Documentary,Tablet,Low,3.3,7
108,Grant Jensen,Traci Arellano,tyler29@example.com,7/10/1944,Female,East Mark,4/11/2024,4/11/2025,Monthly,Amex,Manual,Regular,Clothing,Action,Tablet,Medium,3.2,7
109,Traci Arellano,Richard Ramsey,uwolfe@example.org,2/15/1974,Male,Leeshire,1/24/2024,1/23/2025,Annual,Visa,Auto-renew,Occasional,Clothing,Horror,Tablet,Medium,3.2,2
110,Richard Ramsey,Maria Lawrence,akemp@example.org,1/12/1982,Male,West Joan,1/15/2024,1/14/2025,Monthly,Amex,Manual,Occasional,Clothing,Sci-Fi,Tablet,Medium,4.9,0
111,Maria Lawrence,Regina Ramsey,foxshelia@example.org,10/24/1953,Male,Johnton,2/27/2024,2/26/2025,Annual,Amex,Manual,Regular,Electronics,Drama,Smartphone,High,3.4,7
112,Regina Ramsey,Lisa Reese,susan84@example.com,5/29/1982,Female,Clarkville,2/17/2024,2/16/2025,Annual,Visa,Manual,Frequent,Clothing,Horror,Tablet,Medium,4.1,2
113,Lisa Reese,Bruce Pennington,nataliereynolds@example.org,1/13/1989,Male,Collinsmouth,1/22/2024,1/21/2025,Monthly,Visa,Auto-renew,Frequent,Clothing,Sci-Fi,Smart TV,Medium,4.9,3
114,Bruce Pennington,Jessica Barker,angela32@example.com,12/1/1967,Male,South Sharonhaven,2/6/2024,2/5/2025,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,3.4,9
115,Jessica Barker,Alexis Vasquez,henryjennifer@example.org,8/3/1981,Female,New Robert,4/12/2024,4/12/2025,Monthly,Visa,Manual,Occasional,Clothing,Horror,Smartphone,Medium,4.4,4
116,Alexis Vasquez,Rebecca Lucero,griffinbarbara@example.com,7/20/1980,Female,Wellsstad,4/7/2024,4/7/2025,Monthly,Mastercard,Auto-renew,Regular,Clothing,Action,Tablet,Low,3.8,3
117,Rebecca Lucero,Mary Phillips,martindakota@example.com,2/15/1979,Female,Sullivantown,3/29/2024,3/29/2025,Annual,Mastercard,Auto-renew,Frequent,Clothing,Action,Tablet,Low,4.5,6
118,Mary Phillips,Dustin James,gregorymills@example.org,2/8/1945,Female,Hortonview,1/31/2024,1/30/2025,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.6,0
119,Dustin James,Robert Williams,tiffany46@example.org,10/13/1937,Female,Johnsonmouth,1/14/2024,1/13/2025,Annual,Mastercard,Auto-renew,Regular,Books,Comedy,Smartphone,Medium,4.5,7
120,Robert Williams,Lisa Washington,tstephens@example.com,9/22/1990,Female,North Margaret,1/7/2024,1/6/2025,Annual,Amex,Auto-renew,Frequent,Electronics,Action,Smart TV,High,4.1,3
121,Lisa Washington,Brian French,dbailey@example.net,11/3/1991,Male,East Charlotte,3/2/2024,3/2/2025,Annual,Visa,Manual,Frequent,Books,Drama,Smartphone,High,4.2,2
122,Brian French,Elizabeth Flores,stephenwilliams@example.net,6/19/1968,Male,Alisonfort,3/15/2024,3/15/2025,Monthly,Visa,Manual,Occasional,Electronics,Romance,Smartphone,Low,3.3,7
123,Elizabeth Flores,Melissa Crawford,zstewart@example.net,3/11/1936,Female,Brandifurt,1/12/2024,1/11/2025,Annual,Amex,Auto-renew,Regular,Books,Drama,Smart TV,High,3.2,2
124,Melissa Crawford,Antonio Juarez,kelleybenjamin@example.org,5/19/1947,Male,Garciaview,1/2/2024,1/1/2025,Annual,Amex,Auto-renew,Regular,Electronics,Sci-Fi,Tablet,Low,4.7,8
125,Antonio Juarez,Robert Wilson Dds,christopherjones@example.org,6/24/1990,Male,Byrdside,1/25/2024,1/24/2025,Annual,Visa,Manual,Frequent,Electronics,Drama,Tablet,Medium,4.6,2
126,Robert Wilson DDS,Christopher Clay,tiffany69@example.net,5/9/1985,Male,New Cherylhaven,4/5/2024,4/5/2025,Annual,Visa,Manual,Regular,Electronics,Horror,Tablet,Low,4.9,7
127,Christopher Clay,Ashley Jenkins,stanleynathan@example.org,7/10/2005,Female,East Christophertown,3/26/2024,3/26/2025,Annual,Mastercard,Auto-renew,Frequent,Clothing,Romance,Smart TV,Low,3.2,10
128,Ashley Jenkins,Charles Stafford,apope@example.com,6/19/1985,Male,Lake Jacobport,4/9/2024,4/9/2025,Monthly,Visa,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.4,9
129,Charles Stafford,Jordan Jackson,scott67@example.net,10/5/1991,Male,Michaelmouth,4/14/2024,4/14/2025,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Tablet,High,4.6,6
130,Jordan Jackson,Christine Wright,ubrown@example.org,9/28/1953,Female,Lake Amystad,1/5/2024,1/4/2025,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,Tablet,Medium,4.4,3
131,Christine Wright,Penny Jones,gmoore@example.com,2/4/1972,Male,Lunahaven,1/20/2024,1/19/2025,Monthly,Mastercard,Manual,Occasional,Clothing,Comedy,Smart TV,High,3.1,10
132,Penny Jones,Thomas Simon,kgreen@example.com,8/15/1969,Female,Port Deanland,1/22/2024,1/21/2025,Annual,Amex,Manual,Occasional,Electronics,Comedy,Tablet,Medium,3.4,1
133,Thomas Simon,Lauren Harris,kelliolson@example.org,8/17/1947,Male,East Lawrenceburgh,3/21/2024,3/21/2025,Monthly,Mastercard,Manual,Occasional,Clothing,Action,Smartphone,Medium,4.9,3
135,Lauren Harris,Laura Martin,tbriggs@example.org,6/18/2004,Male,Nicholasburgh,1/9/2024,1/8/2025,Monthly,Mastercard,Auto-renew,Frequent,Books,Documentary,Smart TV,Medium,4.3,7
136,Laura Martin,Mark Snyder,colelong@example.com,1/1/1964,Female,Adamfort,4/8/2024,4/8/2025,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,Smart TV,High,3.5,2
137,Mark Snyder,Jesus Brown,deanwiley@example.org,3/8/1954,Male,Brianview,4/11/2024,4/11/2025,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smart TV,Low,3.5,4
138,Jesus Brown,Katherine Jackson,zlee@example.net,12/3/1958,Female,South Dave,3/24/2024,3/24/2025,Annual,Amex,Manual,Occasional,Electronics,Documentary,Tablet,Medium,3,4
139,Katherine Jackson,Amy Serrano,grahammelissa@example.org,5/6/1991,Female,East Mary,4/14/2024,4/14/2025,Annual,Mastercard,Manual,Occasional,Electronics,Documentary,Tablet,Medium,4.6,9
140,Amy Serrano,Rachel Little,weaverrobert@example.com,12/28/1974,Male,Maryside,2/13/2024,2/12/2025,Annual,Mastercard,Manual,Frequent,Clothing,Drama,Tablet,High,3.8,5
141,Rachel Little,Chris Atkins,smatthews@example.com,12/29/2003,Male,Carlbury,1/20/2024,1/19/2025,Annual,Mastercard,Manual,Regular,Clothing,Action,Tablet,Low,4.9,0
142,Chris Atkins,Matthew Compton,davidbell@example.org,4/10/1950,Female,East Jameschester,4/5/2024,4/5/2025,Monthly,Mastercard,Manual,Occasional,Clothing,Drama,Tablet,High,3.7,3
